job-ID,prior,name,user,state,submit/start,at,queue,jclass,slots,ja-task-ID
------------------------------------------------------------------------------------------------------------------------------------------------
56976090,0.10702,Experiment,s2060501,r,09/02/2026,15:24:27,eddie@node1s10.ecdf.ed.ac.uk,10,93
56976090,0.10700,Experiment,s2060501,r,09/02/2026,15:10:31,eddie@node1s10.ecdf.ed.ac.uk,10,92
56976090,0.10602,Experiment,s2060501,r,09/02/2026,04:02:28,eddie@node1s09.ecdf.ed.ac.uk,10,91
58255571,0.08592,run_predic,bchybows,r,09/09/2026,21:09:12,gpu@node1o16.ecdf.ed.ac.uk,4
57762985,0.08388,Kirsty_Abu,s1626483,r,09/07/2026,10:02:36,eddie@node1k15.ecdf.ed.ac.uk,16
58197451,0.06774,QLOGIN,fpetitpr,r,09/09/2026,08:24:50,eddie@node1j24.ecdf.ed.ac.uk,32
58255692,0.06397,run_predic,bchybows,r,09/09/2026,21:16:57,gpu@node1p05.ecdf.ed.ac.uk,4
58196569,0.06248,QLOGIN,s2673716,r,09/09/2026,01:04:29,gpu@node1r02.ecdf.ed.ac.uk,4
58255702,0.05101,run_predic,bchybows,r,09/09/2026,21:19:27,gpu@node1g06.ecdf.ed.ac.uk,4
58148314,0.03666,agre1,knicodem,r,09/08/2026,10:24:23,eddie@node1m24.ecdf.ed.ac.uk,1,9
58254770,0.03590,eqw_nvt_ri,s2713107,r,09/09/2026,20:48:04,eddie@node1o04.ecdf.ed.ac.uk,256
58147878,0.03431,cmyc_1-88_,s2907279,r,09/09/2026,05:51:02,gpu@node1o16.ecdf.ed.ac.uk,8
57728307,0.03382,runlisfloo,asiripat,r,09/02/2026,13:31:02,eddie@node1j12.ecdf.ed.ac.uk,1,9998
57728307,0.03381,runlisfloo,asiripat,r,09/02/2026,13:34:06,eddie@node1k16.ecdf.ed.ac.uk,1,9999
57728307,0.03380,runlisfloo,asiripat,r,09/02/2026,13:23:51,eddie@node1k16.ecdf.ed.ac.uk,1,9997
57728307,0.03379,runlisfloo,asiripat,r,09/02/2026,13:19:21,eddie@node1k18.ecdf.ed.ac.uk,1,9995
57728307,0.03378,runlisfloo,asiripat,r,09/02/2026,13:14:27,eddie@node1k10.ecdf.ed.ac.uk,1,9994
57728307,0.03378,runlisfloo,asiripat,r,09/02/2026,13:11:27,eddie@node1k11.ecdf.ed.ac.uk,1,9993
57728307,0.03377,runlisfloo,asiripat,r,09/02/2026,13:09:12,eddie@node1k10.ecdf.ed.ac.uk,1,9992
57728307,0.03375,runlisfloo,asiripat,r,09/02/2026,12:56:42,eddie@node1n10.ecdf.ed.ac.uk,1,9989
57728307,0.03375,runlisfloo,asiripat,r,09/02/2026,12:58:42,eddie@node1j13.ecdf.ed.ac.uk,1,9990
57728307,0.03375,runlisfloo,asiripat,r,09/02/2026,13:04:12,eddie@node1k12.ecdf.ed.ac.uk,1,9991
57728307,0.03375,runlisfloo,asiripat,r,09/02/2026,12:50:26,eddie@node1j12.ecdf.ed.ac.uk,1,9988
57728307,0.03374,runlisfloo,asiripat,r,09/02/2026,12:48:16,eddie@node1k14.ecdf.ed.ac.uk,1,9986
